Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel_Type_Decoded,Vehicle_Category,Engine_Cat,Efficiency_Score,CO2_per_Liter,Powertrain,Emission_Class
ACURA,ILX,COMPACT,2.0,4,AS5,Z,9.9,6.7,8.5,33,196,Premium Gasoline,Compact,Small <2.0L,11.764705882352942,2305.8823529411766,4-cyl or less,Medium 150-200
ACURA,ILX,COMPACT,2.4,4,M6,Z,11.2,7.7,9.6,29,221,Premium Gasoline,Compact,Medium 2.0-3.5L,10.416666666666668,2302.0833333333335,4-cyl or less,High 200-250
ACURA,ILX HYBRID,COMPACT,1.5,4,AV7,Z,6.0,5.8,5.9,48,136,Premium Gasoline,Compact,Small <2.0L,16.94915254237288,2305.084745762712,4-cyl or less,Low <150
ACURA,MDX 4WD,SUV - SMALL,3.5,6,AS6,Z,12.7,9.1,11.1,25,255,Premium Gasoline,SUV,Medium 2.0-3.5L,9.00900900900901,2297.2972972972975,6-cyl,Very High >250
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.1,8.7,10.6,27,244,Premium Gasoline,SUV,Medium 2.0-3.5L,9.433962264150944,2301.88679245283,6-cyl,High 200-250
ACURA,RLX,MID-SIZE,3.5,6,AS6,Z,11.9,7.7,10.0,28,230,Premium Gasoline,Sedan,Medium 2.0-3.5L,10.0,2300.0,6-cyl,High 200-250
ACURA,TL,MID-SIZE,3.5,6,AS6,Z,11.8,8.1,10.1,28,232,Premium Gasoline,Sedan,Medium 2.0-3.5L,9.900990099009901,2297.029702970297,6-cyl,High 200-250
ACURA,TL AWD,MID-SIZE,3.7,6,AS6,Z,12.8,9.0,11.1,25,255,Premium Gasoline,Sedan,Large >3.5L,9.00900900900901,2297.2972972972975,6-cyl,Very High >250
ACURA,TL AWD,MID-SIZE,3.7,6,M6,Z,13.4,9.5,11.6,24,267,Premium Gasoline,Sedan,Large >3.5L,8.620689655172415,2301.7241379310344,6-cyl,Very High >250
ACURA,TSX,COMPACT,2.4,4,AS5,Z,10.6,7.5,9.2,31,212,Premium Gasoline,Compact,Medium 2.0-3.5L,10.869565217391305,2304.3478260869565,4-cyl or less,High 200-250
ACURA,TSX,COMPACT,2.4,4,M6,Z,11.2,8.1,9.8,29,225,Premium Gasoline,Compact,Medium 2.0-3.5L,10.204081632653061,2295.918367346939,4-cyl or less,High 200-250
ACURA,TSX,COMPACT,3.5,6,AS5,Z,12.1,8.3,10.4,27,239,Premium Gasoline,Compact,Medium 2.0-3.5L,9.615384615384615,2298.076923076923,6-cyl,High 200-250
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Z,9.7,6.9,8.4,34,193,Premium Gasoline,Other,Small <2.0L,11.904761904761905,2297.6190476190473,4-cyl or less,Medium 150-200
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,Premium Gasoline,Compact,Large >3.5L,6.410256410256411,2301.2820512820513,10+ cyl,Very High >250
ASTON MARTIN,RAPIDE,SUBCOMPACT,5.9,12,A6,Z,18.0,12.6,15.6,18,359,Premium Gasoline,Compact,Large >3.5L,6.410256410256411,2301.2820512820513,10+ cyl,Very High >250
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338,Premium Gasoline,Other,Large >3.5L,6.802721088435375,2299.3197278911566,8-cyl,Very High >250
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,M6,Z,18.1,12.2,15.4,18,354,Premium Gasoline,Other,Large >3.5L,6.4935064935064934,2298.7012987012986,8-cyl,Very High >250
