Brand,Model,VAC,Powertrain,Segment,Energy consumption (Wh/km),Electric range (km),Battery capacity (kWh),Battery chemistry,Energy density (Wh/kg),Curb weight (kg),AH,BJ,CQ,FJ,GD,GS,GX,GZ,HA,HB,HE,HI,HL,HN,JL,JS,JX,LN,NM,NX,QH,SC,SD,SH,SN,TJ,XJ,XZ,YN,ZJ,Total_Registrations,Market,N_Countries,Battery_Chem_Code,CO2_g_km_EU,CO2_g_km_CN,Segment_Label
smart,smart精灵#1,JL7000BEV04,BEV,3,130.0,560.0,66.0,NCM-H,184.4,1800.0,250,580.0,385,102.0,344,40.0,101,75,324,352.0,59,159,18.0,126.0,11.0,256,71.0,34.0,10.0,7.0,7.0,711,308.0,1734.0,322.0,271,3.0,1.0,157,672,7490.0,CN,30,3,30.290000000000003,75.53,Medium
smart,smart精灵#1,JL7000BEV08,BEV,3,134.0,535.0,66.0,NCM-H,180.0,1770.0,199,532.0,380,146.0,320,40.0,125,119,337,301.0,58,243,16.0,136.0,22.0,373,100.0,48.0,10.0,7.0,6.0,789,351.0,2736.0,371.0,362,3.0,,184,581,8895.0,CN,30,3,31.222,77.854,Medium
阿维塔,阿维塔11,SC6491EBCBEV,BEV,5,180.3,555.0,90.38,NCM-H,180.0,2280.0,205,682.0,1540,224.0,476,33.0,95,122,239,347.0,111,143,5.0,195.0,4.0,169,115.0,3.0,,6.0,8.0,695,143.0,1580.0,256.0,156,13.0,1.0,123,665,8354.0,CN,30,3,42.0099,104.75430000000001,Executive
埃安,广汽AION Y,GAM7000BEVD0Q,BEV,3,138.0,500.0,64.17,LFP,143.0,1725.0,554,475.0,429,240.0,4332,28.0,260,147,856,518.0,597,822,1.0,342.0,25.0,315,184.0,228.0,28.0,28.0,38.0,156,188.0,1717.0,245.0,983,16.0,2.0,162,660,14576.0,CN,30,0,32.154,80.17800000000001,Medium
埃安,广汽AionS,GAM7001BEVA0L,BEV,3,129.0,510.0,61.1847,NCM-M,160.0,1640.0,151,173.0,600,123.0,2144,25.0,197,368,304,229.0,191,237,,164.0,5.0,218,73.0,240.0,14.0,13.0,24.0,968,132.0,271.0,327.0,196,13.0,1.0,184,695,8280.0,CN,30,2,30.057000000000002,74.949,Medium
埃安,广汽AionS,GAM7001BEVA0N,BEV,3,129.0,460.0,55.1862,LFP,140.19,1685.0,1162,854.0,3778,804.0,17632,169.0,1551,3375,2361,1419.0,1256,1471,5.0,1236.0,43.0,1344,479.0,1508.0,54.0,102.0,185.0,6993,1029.0,1416.0,1974.0,1388,108.0,10.0,1358,5861,60925.0,CN,30,0,30.057000000000002,74.949,Medium
埃安,广汽AionV,GAM6460BEVC0K,BEV,4,153.0,500.0,71.145,LFP,141.0,2040.0,36,291.0,100,84.0,1091,6.0,42,19,214,73.0,84,235,1.0,90.0,3.0,38,22.0,34.0,2.0,8.0,9.0,101,104.0,294.0,59.0,83,3.0,,52,91,3269.0,CN,30,0,35.649,88.893,Large
埃安,广汽AionV,GAM6460BEVC0T,BEV,4,148.0,600.0,80.0,NCM-H,173.0,1960.0,68,453.0,82,79.0,1026,8.0,95,23,218,96.0,78,280,1.0,90.0,6.0,51,19.0,28.0,4.0,2.0,7.0,116,106.0,362.0,24.0,113,5.0,,30,81,3551.0,CN,30,3,34.484,85.988,Large
奥迪,奥迪Q4 e-tron,FV6469AABEV,BEV,4,144.0,605.0,84.8,NCM-H,165.0,2160.0,281,1345.0,375,122.0,302,110.0,184,109,712,282.0,155,317,51.0,299.0,738.0,409,129.0,366.0,52.0,96.0,15.0,1050,264.0,2084.0,420.0,254,41.0,2.0,283,488,11335.0,CN,30,3,33.552,83.66399999999999,Large
宝马,宝马i3,BMW7000AAEV,BEV,5,143.0,526.0,69.9527,NCM-M,138.0,2029.0,817,2600.0,1339,377.0,1602,121.0,365,388,1050,1133.0,389,323,116.0,975.0,212.0,1231,446.0,670.0,110.0,112.0,57.0,2253,664.0,4548.0,1146.0,771,161.0,4.0,534,2621,27135.0,CN,30,2,33.318999999999996,83.083,Executive
宝马,宝马X3,BMW6475ACEV,BEV,4,167.0,550.0,80.0,NCM-M,154.0,2190.0,334,984.0,542,151.0,639,61.0,156,160,395,503.0,139,119,40.0,419.0,74.0,511,197.0,219.0,50.0,48.0,26.0,1036,249.0,1806.0,494.0,269,63.0,2.0,192,1021,10899.0,CN,30,2,38.911,97.027,Large
宝马,宝马X3,BMW6475ADEV,BEV,4,169.0,535.0,80.0,NCM-M,154.0,2190.0,263,1171.0,403,133.0,579,39.0,150,122,320,393.0,124,144,51.0,388.0,63.0,488,193.0,261.0,39.0,36.0,18.0,778,243.0,1839.0,375.0,297,60.0,2.0,168,931,10071.0,CN,30,2,39.377,98.18900000000001,Large
北汽新能源,EU系列,BJ7000C5EB-BEV,BEV,3,158.0,305.0,44.8167,LFP,142.41,1543.0,78,13791.0,625,371.0,2350,,6,325,24,700.0,56,34,,195.0,3.0,7,331.0,71.0,,91.0,30.0,599,112.0,57.0,1053.0,570,55.0,,2382,1179,25095.0,CN,30,0,36.814,91.798,Medium
奔驰,奔驰EQB,BJ6471NBEV1,BEV,4,134.0,600.0,73.5,NCM-H,188.0,2072.0,98,345.0,194,54.0,198,13.0,51,51,153,165.0,59,50,,123.0,9.0,149,57.0,7.0,,,8.0,268,91.0,662.0,144.0,103,,,60,242,3354.0,CN,30,3,31.222,77.854,Large
奔驰,奔驰EQE,BJ7003NBEV2,BEV,5,144.0,717.0,96.1,NCM-H,172.53,2410.0,112,455.0,233,32.0,233,17.0,66,64,139,165.0,47,42,,129.0,16.0,144,66.0,3.0,,,9.0,243,84.0,702.0,198.0,93,,,104,279,3675.0,CN,30,3,33.552,83.66399999999999,Executive
