Manufacturer,Commercial name,Variant,Powertrain,Segment,Energy consumption (Wh/km),Electric range (km),Battery capacity (kWh),Battery chemistry,BE,BG,CY,CZ,DE,DK,EE,ES,FI,FR,GR,HR,HU,IE,IS,IT,LT,LU,LV,MT,NL,NO,PL,PT,RO,SE,SI,SK,EU,Battery_Chem_Code,Registrations_EU_Total,Registrations_IT,Efficiency_ratio,Segment_label
AUDI,Q4 40 E-TRON,XBL1FH1,BEV,4.0,180.0,523.0,82.0,NCM-H,3153,2,10,5,6545,0,11,667,347,1019,40,35,22,292,6,619,18,179,7,3,1725,1,337,323,11,1681,0,9,17517,4,34584,619,2.1951219512195124,D/E Large
AUDI,Q4 SPORTBACK 40 E-TRON,SBL1FH1,BEV,4.0,184.0,523.0,82.0,NCM-H,1323,5,9,9,3037,0,5,593,141,821,41,17,46,154,0,788,13,9,4,0,340,0,218,292,6,370,0,11,8403,4,16655,788,2.2439024390243905,D/E Large
AUDI,Q8 55 E-TRON,XBM1JAQ1,BEV,5.0,214.0,574.0,114.0,NCA,613,3,0,15,2647,0,34,49,98,238,4,3,10,43,15,103,17,41,6,0,585,124,48,215,7,1371,0,5,6753,5,13047,103,1.8771929824561404,E/F SUV-XL
BMW,I4 EDRIVE40,71AW,BEV,4.0,181.0,583.0,83.9,NCM-H,2561,37,0,54,0,0,4,481,371,1261,60,16,96,0,13,483,12,199,8,0,2295,247,114,1174,58,2304,0,27,11876,4,23751,483,2.1573301549463646,D/E Large
BMW,I4 M50,31AW,BEV,4.0,166.0,513.0,83.9,NCM-H,665,34,0,69,2414,0,25,106,1085,616,37,6,94,0,13,228,7,88,11,0,545,1535,193,370,47,1770,0,24,9982,4,19964,228,1.9785458879618592,D/E Large
BMW,IX1 XDRIVE30,61EF,BEV,3.0,176.0,439.0,66.5,NCM-H,3267,67,0,95,14382,0,4,1010,313,3423,154,14,117,0,49,1211,16,262,9,0,3222,2415,335,404,64,1548,0,54,32437,4,64872,1211,2.6466165413533833,C/D Medium
BMW,IX3,41DU,BEV,4.0,176.0,461.0,80.0,NCM-H,3856,9,0,18,5728,872,1,280,66,1681,71,5,217,0,24,312,4,129,3,0,1734,376,146,376,57,748,0,11,16725,4,33449,312,2.2,D/E Large
BYD,ATTO 3,M2F1C,BEV,3.0,159.0,420.0,62.0,LFP,333,0,0,0,3780,200,2,388,64,397,4,0,12,506,52,149,0,0,0,71,1072,391,1,334,0,3006,0,0,11495,1,22257,149,2.564516129032258,C/D Medium
CUPRA,BORN 170 KW 77/82 KWH,BECWAD8SX2,BEV,4.0,180.0,550.0,82.0,NCM-M,574,0,1,55,4201,592,5,379,135,2012,19,8,37,28,0,79,24,61,11,0,211,4,33,157,10,126,40,3,10126,3,18931,79,2.1951219512195124,D/E Large
DACIA,SPRING,BV2,BEV,1.0,177.0,230.0,26.8,NCM-M,551,286,0,100,12387,100,20,2013,0,30431,17,115,143,0,0,2250,77,258,33,0,1459,0,385,1271,6853,1,101,105,59473,3,118429,2250,6.604477611940299,A/B Micro
FIAT,500,0AEA0000A0,BEV,1.0,145.0,320.0,42.0,NCM-M,252,3,5,32,15365,4,0,1171,81,19767,135,0,41,126,0,3892,11,452,0,35,933,275,127,273,61,163,0,10,43214,3,86428,3892,3.4523809523809526,A/B Micro
